526, 326, 391, 647
391, 97, 126, 326
326, 78, 86, 91
326, 82, 91, 107
326, 86, 91, 107
326, 86, 97, 107
326, 97, 107, 126
687, 554, 698, 755
687, 698, 755, 979
755, 452, 554, 698
1074, 1491, 1503, 1504
1503, 1491, 1504, 1838
1503, 1839, 1491, 1708
1503, 1839, 1491, 1838
1074, 1339, 1491, 1504
1074, 1422, 1491, 1503
1503, 1422, 1491, 1708
1339, 1491, 1504, 1559
1559, 1491, 1504, 1788
1074, 1022, 1422, 1491
1422, 1022, 1216, 1491
1074, 1403, 1339, 1491
1339, 1403, 1491, 1559
1491, 1416, 1708, 1839
1491, 1416, 1721, 1839
1491, 1504, 1788, 1838
1491, 1788, 1838, 1839
1491, 1513, 1708, 1416
895, 1083, 813, 1101
895, 1083, 1207, 1101
1417, 1497, 1643, 1709
876, 827, 883, 719
1170, 1238, 1256, 1534
1292, 1692, 1524, 1581
1292, 1524, 1390, 1581
967, 983, 1142, 1198
1248, 1066, 895, 982
1248, 1066, 895, 1254
1248, 1066, 982, 1254
895, 1066, 1207, 1254
967, 1043, 723, 983
833, 786, 830, 1010
833, 786, 963, 1010
1510, 1561, 1718, 1801
1510, 1561, 1611, 1801
1611, 1561, 1801, 1813
1510, 1534, 1561, 1718
1510, 1534, 1561, 1611
1561, 1718, 1786, 1794
1561, 1718, 1794, 1813
1561, 1718, 1801, 1813
763, 535, 625, 723
763, 625, 723, 758
1536, 1535, 1730, 1743
1536, 1437, 1535, 1730
1536, 1224, 1437, 1535
1535, 1633, 1642, 1844
1535, 1633, 1693, 1844
1535, 1642, 1743, 1844
1535, 1693, 1730, 1844
1535, 1730, 1743, 1844
1535, 1679, 1633, 1693
687, 931, 979, 1048
931, 979, 1048, 1178
1178, 979, 1048, 1200
1200, 1048, 1224, 1437
1178, 1200, 1231, 1048
1200, 1231, 1048, 1437
1437, 1048, 1224, 1535
1227, 1682, 1699, 1727
1227, 1682, 1702, 1727
1702, 1682, 1712, 1727
1682, 1699, 1712, 1727
1623, 1622, 1686, 1748
1622, 1595, 1686, 1748
1622, 1595, 1686, 1749
517, 200, 219, 369
369, 199, 200, 219
369, 199, 201, 219
369, 195, 199, 201
687, 940, 789, 931
687, 940, 756, 789
687, 789, 931, 1048
931, 789, 940, 1048
1561, 1594, 1794, 1813
1594, 1670, 1692, 1800
1594, 1692, 1794, 1800
1594, 1692, 1794, 1813
1519, 1537, 1595, 1758
1519, 1537, 1730, 1758
1519, 1437, 1537, 1730
1519, 1231, 1537, 1595
1519, 1231, 1437, 1537
1437, 1535, 1537, 1730
1535, 1537, 1693, 1730
1437, 1048, 1231, 1537
1437, 1048, 1535, 1537
1537, 1595, 1693, 1901
1537, 1595, 1758, 1901
1537, 1693, 1730, 1901
1537, 1730, 1758, 1901
1510, 1590, 1718, 1801
1510, 1534, 1590, 1718
1510, 1256, 1534, 1590
1590, 1544, 1815, 1867
1590, 1718, 1801, 1815
1590, 1801, 1815, 1867
513, 129, 391, 399
513, 391, 399, 647
391, 97, 129, 399
513, 129, 399, 452
452, 129, 350, 399
647, 326, 391, 399
399, 97, 108, 129
399, 108, 114, 350
399, 108, 129, 350
399, 109, 97, 108
813, 756, 824, 940
813, 623, 756, 824
756, 789, 824, 940
940, 789, 824, 1048
592, 355, 534, 736
592, 355, 381, 462
592, 355, 381, 534
381, 241, 249, 355
462, 355, 381, 420
381, 241, 355, 420
615, 342, 355, 462
462, 342, 355, 420
420, 241, 342, 355
342, 241, 253, 355
342, 248, 253, 355
342, 248, 355, 413
844, 355, 830, 833
567, 355, 413, 588
833, 355, 786, 830
355, 241, 249, 269
355, 241, 253, 261
355, 241, 261, 269
355, 248, 253, 261
355, 248, 261, 284
355, 249, 269, 283
355, 261, 269, 284
355, 269, 283, 297
355, 269, 284, 297
895, 1172, 1066, 1207
535, 142, 146, 368
146, 142, 147, 368
146, 147, 152, 368
535, 146, 368, 596
535, 368, 596, 723
535, 368, 625, 723
368, 130, 142, 147
368, 102, 142, 130
1037, 1219, 1227, 1559
1037, 963, 1219, 1227
1037, 1219, 1403, 1559
1037, 1181, 1219, 1403
1037, 1138, 1181, 1219
1037, 963, 1116, 1219
1037, 1116, 1138, 1219
449, 146, 152, 497
449, 146, 497, 596
146, 152, 368, 497
146, 368, 497, 596
